AREA_DEL_HECHO,LUGAR,DIA,HORA_INFRACCION,ARMA,EDAD,SEXO,ANTECEDENTES,DISTRITO,PRESUNTA_MOTIVACION
URBANO,VIA PUBLICA,MARTES,H16,ARMA DE FUEGO,26,HOMBRE,SI,PASCUALES,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,MARTES,H16,ARMA DE FUEGO,18,HOMBRE,SI,PASCUALES,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,SABADO,H14,ARMA BLANCA,24,HOMBRE,SI,DURAN,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H23,ARMA DE FUEGO,20,HOMBRE,SI,SUR,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MARTES,H10,ARMA BLANCA,30,HOMBRE,SI,PROGRESO,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,JUEVES,H20,ARMA DE FUEGO,29,HOMBRE,SI,NUEVA PROSPERINA,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H02,ARMA DE FUEGO,29,HOMBRE,SI,PASCUALES,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H04,ARMA DE FUEGO,33,HOMBRE,SI,SUR,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H15,ARMA BLANCA,29,HOMBRE,SI,PASCUALES,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H04,ARMA DE FUEGO,26,HOMBRE,SI,ESTEROS,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H21,ARMA DE FUEGO,21,HOMBRE,SI,ESTEROS,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H22,ARMA DE FUEGO,28,MUJER,SI,PORTETE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,LUNES,H22,ARMA DE FUEGO,39,HOMBRE,SI,PORTETE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H00,ARMA DE FUEGO,26,HOMBRE,SI,SUR,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,MARTES,H20,ARMA DE FUEGO,47,MUJER,SI,PORTETE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,MIERCOLES,H22,ARMA BLANCA,25,HOMBRE,SI,9 DE OCTUBRE,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,JUEVES,H03,ARMA DE FUEGO,35,HOMBRE,SI,PASCUALES,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,VIERNES,H04,ARMA BLANCA,47,MUJER,SI,SUR,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,VIERNES,H13,ARMA DE FUEGO,39,HOMBRE,SI,FLORIDA,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H17,ARMA DE FUEGO,29,HOMBRE,SI,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,LUNES,H21,ARMA DE FUEGO,35,HOMBRE,SI,SUR,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H01,ARMA BLANCA,30,HOMBRE,SI,SUR,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,DOMINGO,H03,ARMA BLANCA,22,HOMBRE,SI,ESTEROS,VIOLENCIA COMUNITARIA
RURAL,VIA PUBLICA,SABADO,H04,ARMA BLANCA,33,HOMBRE,SI,NUEVA PROSPERINA,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,MARTES,H11,ARMA DE FUEGO,23,HOMBRE,SI,ESTEROS,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,VIERNES,H18,ARMA DE FUEGO,33,HOMBRE,SI,9 DE OCTUBRE,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,VIERNES,H17,ARMA DE FUEGO,28,HOMBRE,SI,PORTETE,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,VIERNES,H23,ARMA DE FUEGO,26,HOMBRE,SI,MODELO,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MIERCOLES,H21,ARMA DE FUEGO,28,HOMBRE,SI,DURAN,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,LUNES,H10,ARMA DE FUEGO,51,HOMBRE,SI,ESTEROS,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H02,ARMA DE FUEGO,37,HOMBRE,SI,ESTEROS,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,LUNES,H21,OTROS,39,MUJER,SI,PORTETE,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,LUNES,H21,OTROS,35,HOMBRE,SI,PORTETE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,MARTES,H22,ARMA DE FUEGO,33,HOMBRE,SI,ESTEROS,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MARTES,H17,ARMA BLANCA,24,HOMBRE,SI,SUR,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,VIERNES,H20,ARMA DE FUEGO,24,HOMBRE,SI,PASCUALES,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,SABADO,H01,ARMA DE FUEGO,21,HOMBRE,SI,PORTETE,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,LUNES,H00,ARMA BLANCA,21,HOMBRE,SI,NUEVA PROSPERINA,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H03,ARMA DE FUEGO,58,HOMBRE,SI,PROGRESO,VIOLENCIA COMUNITARIA
RURAL,LUGARES PRIVADOS,MIERCOLES,H00,ARMA CONTUNDENTE,30,MUJER,SI,PROGRESO,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,MIERCOLES,H13,ARMA DE FUEGO,22,HOMBRE,SI,ESTEROS,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,SABADO,H05,ARMA CONTUNDENTE,40,HOMBRE,SI,PASCUALES,VIOLENCIA COMUNITARIA
RURAL,VIA PUBLICA,DOMINGO,H04,ARMA CONTUNDENTE,39,HOMBRE,SI,MODELO,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,JUEVES,H21,ARMA DE FUEGO,32,HOMBRE,SI,SUR,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,DOMINGO,H15,ARMA DE FUEGO,37,HOMBRE,SI,PASCUALES,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H23,ARMA DE FUEGO,27,HOMBRE,SI,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,MARTES,H19,ARMA DE FUEGO,18,HOMBRE,SI,PORTETE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,SABADO,H20,ARMA DE FUEGO,37,HOMBRE,SI,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,SABADO,H22,ARMA DE FUEGO,47,HOMBRE,SI,FLORIDA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H02,ARMA DE FUEGO,22,HOMBRE,SI,ESTEROS,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,DOMINGO,H01,ARMA DE FUEGO,37,HOMBRE,SI,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H19,ARMA DE FUEGO,35,HOMBRE,SI,FLORIDA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H20,ARMA DE FUEGO,20,HOMBRE,SI,ESTEROS,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,MARTES,H07,OTROS,35,HOMBRE,SI,PASCUALES,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,DOMINGO,H23,ARMA BLANCA,78,MUJER,NO,MODELO,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,JUEVES,H22,ARMA DE FUEGO,40,HOMBRE,NO,FLORIDA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,SABADO,H21,ARMA DE FUEGO,49,HOMBRE,NO,PASCUALES,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,SABADO,H23,CONSTRICTORA,35,HOMBRE,NO,ESTEROS,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,LUNES,H06,ARMA DE FUEGO,37,HOMBRE,NO,SUR,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,VIERNES,H18,ARMA DE FUEGO,41,HOMBRE,NO,ESTEROS,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H21,ARMA DE FUEGO,49,HOMBRE,NO,MODELO,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MIERCOLES,H13,ARMA DE FUEGO,24,HOMBRE,SI,FLORIDA,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,VIERNES,H11,ARMA DE FUEGO,30,HOMBRE,NO,NUEVA PROSPERINA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,SABADO,H01,ARMA DE FUEGO,37,HOMBRE,NO,PORTETE,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,VIERNES,H17,ARMA DE FUEGO,43,MUJER,NO,CEIBOS,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H05,ARMA BLANCA,46,HOMBRE,SI,PORTETE,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H06,ARMA BLANCA,69,HOMBRE,NO,PASCUALES,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,MIERCOLES,H22,ARMA DE FUEGO,35,HOMBRE,SI,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,VIERNES,H20,ARMA DE FUEGO,37,HOMBRE,SI,SUR,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,MIERCOLES,H15,ARMA BLANCA,24,HOMBRE,SI,ESTEROS,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,JUEVES,H15,ARMA DE FUEGO,36,HOMBRE,NO,PORTETE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H02,ARMA DE FUEGO,32,HOMBRE,NO,SUR,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H02,ARMA DE FUEGO,33,HOMBRE,NO,SUR,VIOLENCIA COMUNITARIA
RURAL,LUGARES PRIVADOS,LUNES,H02,ARMA DE FUEGO,36,HOMBRE,NO,PROGRESO,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,MARTES,H11,ARMA DE FUEGO,20,HOMBRE,NO,FLORIDA,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,MIERCOLES,H22,ARMA DE FUEGO,46,HOMBRE,NO,ESTEROS,VIOLENCIA INTRAFAMILIAR
URBANO,LUGARES PRIVADOS,LUNES,H23,OTROS,40,HOMBRE,NO,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,VIERNES,H20,ARMA DE FUEGO,45,HOMBRE,NO,PASCUALES,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MIERCOLES,H21,ARMA DE FUEGO,58,HOMBRE,NO,SUR,VIOLENCIA COMUNITARIA
