AREA_DEL_HECHO,LUGAR,DIA,HORA_INFRACCION,ARMA,EDAD,SEXO,ANTECEDENTES,DISTRITO,PRESUNTA_MOTIVACION
URBANO,VIA PUBLICA,VIERNES,H17,ARMA DE FUEGO,28,HOMBRE,SIN_DATO,PORTETE,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,VIERNES,H23,ARMA DE FUEGO,26,HOMBRE,SIN_DATO,MODELO,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MIERCOLES,H21,ARMA DE FUEGO,28,HOMBRE,SIN_DATO,DURAN,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,LUNES,H10,ARMA DE FUEGO,51,HOMBRE,SIN_DATO,ESTEROS,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H02,ARMA DE FUEGO,37,HOMBRE,SIN_DATO,ESTEROS,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,LUNES,H21,OTROS,39,MUJER,SIN_DATO,PORTETE,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,LUNES,H21,OTROS,35,HOMBRE,SIN_DATO,PORTETE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,MARTES,H22,ARMA DE FUEGO,33,HOMBRE,SIN_DATO,ESTEROS,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MARTES,H17,ARMA BLANCA,24,HOMBRE,SIN_DATO,SUR,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,VIERNES,H20,ARMA DE FUEGO,24,HOMBRE,SIN_DATO,PASCUALES,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,SABADO,H01,ARMA DE FUEGO,21,HOMBRE,SIN_DATO,PORTETE,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,LUNES,H00,ARMA BLANCA,21,HOMBRE,SIN_DATO,NUEVA PROSPERINA,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H03,ARMA DE FUEGO,58,HOMBRE,SIN_DATO,PROGRESO,VIOLENCIA COMUNITARIA
RURAL,LUGARES PRIVADOS,MIERCOLES,H00,ARMA CONTUNDENTE,30,MUJER,SIN_DATO,PROGRESO,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,MIERCOLES,H13,ARMA DE FUEGO,22,HOMBRE,SIN_DATO,ESTEROS,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,SABADO,H05,ARMA CONTUNDENTE,40,HOMBRE,SIN_DATO,PASCUALES,VIOLENCIA COMUNITARIA
RURAL,VIA PUBLICA,DOMINGO,H04,ARMA CONTUNDENTE,39,HOMBRE,SIN_DATO,MODELO,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,JUEVES,H21,ARMA DE FUEGO,32,HOMBRE,SIN_DATO,SUR,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,DOMINGO,H15,ARMA DE FUEGO,37,HOMBRE,SIN_DATO,PASCUALES,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H23,ARMA DE FUEGO,27,HOMBRE,SIN_DATO,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,MARTES,H19,ARMA DE FUEGO,18,HOMBRE,SIN_DATO,PORTETE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,SABADO,H20,ARMA DE FUEGO,37,HOMBRE,SI,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,SABADO,H22,ARMA DE FUEGO,47,HOMBRE,SI,FLORIDA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H02,ARMA DE FUEGO,22,HOMBRE,SIN_DATO,ESTEROS,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,DOMINGO,H01,ARMA DE FUEGO,37,HOMBRE,SI,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H19,ARMA DE FUEGO,35,HOMBRE,SIN_DATO,FLORIDA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H20,ARMA DE FUEGO,20,HOMBRE,SIN_DATO,ESTEROS,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,MARTES,H07,OTROS,35,HOMBRE,SI,PASCUALES,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,DOMINGO,H23,ARMA BLANCA,78,MUJER,NO,MODELO,DELINCUENCIA COMUN
